publisher,visual,rank
Shueisha,40650801.5000,1
Kodansha,37264303.5000,2
Shogakukan,27332019.5000,3
Square Enix,16246331.5000,4
Hakusensha,16017707.5000,5
Kadokawa Shoten,12694353.0000,6
Media Factory,9082493.5000,7
Akita Shoten,8309652.5000,8
Naver,8011898.5000,9
ASCII Media Works,6161866.0000,10
Ichijinsha,5312765.0000,11
Houbunsha,4706863.0000,12
Futabasha,4573033.5000,13
Tokuma Shoten,3984225.0000,14
Shinshokan,3592599.5000,15
Shonen Gahosha,3482149.0000,16
Libre Shuppan,3359532.0000,17
Mag Garden,3190346.5000,18
Fujimi Shobo,3185044.0000,19
Gentosha,3035106.0000,20
Core Magazine,2933061.0000,21
Alpha Polis,2869972.0000,22
Kaiousha,2688152.5000,23
Enterbrain,2589289.5000,24
DAUM,2340333.5000,25
Daiwon,2128532.5000,26
Takeshobo,2109335.0000,27
Biblos,1953746.5000,28
Fujimi Shobou,1763918.0000,29
Haksan,1751754.5000,30
Kadokawa,1614525.0000,31
Taiyo Tosho,1500902.5000,32
Holp Shuppan,1334297.5000,33
Chuixue,1226650.0000,34
Media Works,1202733.5000,35
Oakla Shuppan,1060103.0000,36
Shinchosha,1043778.5000,37
Frontier Works,964370.0000,38
Seoul Cultural,959409.0000,39
Kill Time Communication,821953.0000,40
Daiwon C.I.,779802.0000,41
Taiyou Tosho,689558.0000,42
Hobby Japan,617971.0000,43
Ookura Shuppan,600571.5000,44
U17,597774.0000,45
Lezhin,592979.5000,46
Magazine Magazine,576820.0000,47
Tong Li,569383.0000,48
Shodensha,541665.5000,49
Printemps Shuppan,526247.5000,50
Nihon Bungeisha,509527.0000,51
MediaWorks,508212.0000,52
Samyang,506151.0000,53
Tokyo Mangasha,501811.5000,54
Junet,493616.5000,55
Gentousha,490430.5000,56
Foxtoon,485624.5000,57
Wani Books,477984.5000,58
Kkonnim,471623.5000,59
Changjiang Press,454784.0000,60
Ohzora Shuppan,434028.5000,61
Bookone,409806.0000,62
Kakao,407560.0000,63
